,abbreviation,expansion,whole_set
4888,sq,subcutaneously,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4889,sqv,saquinavir,"['saquinavir', 'sqv']"
4890,sr,senior,"['senior', 'sinus rhythm', 'sr', 'standard risk', 'sustained release']"
4891,sr,sinus rhythm,"['senior', 'sinus rhythm', 'sr', 'standard risk', 'sustained release']"
4892,sr,standard risk,"['senior', 'sinus rhythm', 'sr', 'standard risk', 'sustained release']"
4893,sr,sustained release,"['senior', 'sinus rhythm', 'sr', 'standard risk', 'sustained release']"
4894,srl,sirolimus,"['siro', 'sirolimus', 'srl']"
4895,srna,soluble rna,"['soluble rna', 'srna']"
4896,srom,spontaneous rupture of membrane,"['spontaneous rupture of membrane', 'srom']"
4897,srt,speech reception threshold,"['speech reception threshold', 'srt']"
4898,ss,hemoglobin ss,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4899,ss,serosanguinous,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4900,ss,sickle cell,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4901,ss,signs or symptoms,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4902,ss,signs/symptoms,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4903,ss,single strength,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4904,ss,sjögren's syndrome,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4905,ss,sleep study,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4906,ss,sliding scale,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4907,ss,social security,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4908,ss,standard score,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4909,ss,steri-strips,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4910,ss,substernal,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4911,ss,symptom score,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4912,ssa,sjögren’s syndrome a antibody,"['sjögren’s syndrome a antibody', 'social security administration', 'ssa']"
4913,ssa,social security administration,"['sjögren’s syndrome a antibody', 'social security administration', 'ssa']"
4914,ssb,sjögren’s syndrome b antibody,"['sjögren’s syndrome b antibody', 'ssb']"
4915,ssc,similac special care,"['similac special care', 'ssc', 'systemic sclerosis']"
4916,ssc,systemic sclerosis,"['similac special care', 'ssc', 'systemic sclerosis']"
4917,sscp,substernal chest pain,"['sscp', 'substernal chest pain']"
4918,ssd,silver sulfadiazine,"['silver sulfadiazine', 'source to skin distance', 'ssd']"
4919,ssd,source to skin distance,"['silver sulfadiazine', 'source to skin distance', 'ssd']"
4920,ssdna,single stranded dna,"['single stranded dna', 'single-stranded dna', 'ssdna']"
4921,ssdna,single-stranded dna,"['single stranded dna', 'single-stranded dna', 'ssdna']"
4922,sse,soapsuds enema,"['soapsuds enema', 'sse']"
4923,ssi,sliding scale insulin,"['sliding scale insulin', 'social security insurance', 'ssi', 'supplemental security income']"
4924,ssi,social security insurance,"['sliding scale insulin', 'social security insurance', 'ssi', 'supplemental security income']"
4925,ssi,supplemental security income,"['sliding scale insulin', 'social security insurance', 'ssi', 'supplemental security income']"
4926,ssm,superficial spreading melanoma,"['ssm', 'superficial spreading melanoma']"
4927,ssn,social security number,"['social security number', 'ssn']"
4928,sspe,subacute sclerosing panencephalitis,"['sspe', 'subacute sclerosing panencephalitis']"
4929,ssri,selective serotonin reuptake inhibitor,"['selective serotonin reuptake inhibitor', 'sliding scale regular insulin', 'ssri']"
4930,ssri,sliding scale regular insulin,"['selective serotonin reuptake inhibitor', 'sliding scale regular insulin', 'ssri']"
4931,sss,sick sinus syndrome,"['sick sinus syndrome', 'sss']"
4932,ssv,small saphenous vein,"['small saphenous vein', 'ssv']"
4933,ssz,sulfasalazine,"['ssz', 'sulfasalazine']"
4934,st,saint,"['saint', 'sinus tachycardia', 'sore throat', 'speech therapy', 'st', 'st elevations', 'st segment', 'start', 'street']"
4935,st,sinus tachycardia,"['saint', 'sinus tachycardia', 'sore throat', 'speech therapy', 'st', 'st elevations', 'st segment', 'start', 'street']"
4936,st,sore throat,"['saint', 'sinus tachycardia', 'sore throat', 'speech therapy', 'st', 'st elevations', 'st segment', 'start', 'street']"
4937,st,speech therapy,"['saint', 'sinus tachycardia', 'sore throat', 'speech therapy', 'st', 'st elevations', 'st segment', 'start', 'street']"
4938,st,st elevations,"['saint', 'sinus tachycardia', 'sore throat', 'speech therapy', 'st', 'st elevations', 'st segment', 'start', 'street']"
4939,st,st segment,"['saint', 'sinus tachycardia', 'sore throat', 'speech therapy', 'st', 'st elevations', 'st segment', 'start', 'street']"
4940,st,start,"['saint', 'sinus tachycardia', 'sore throat', 'speech therapy', 'st', 'st elevations', 'st segment', 'start', 'street']"
4941,st,street,"['saint', 'sinus tachycardia', 'sore throat', 'speech therapy', 'st', 'st elevations', 'st segment', 'start', 'street']"
4942,staph,staphylococcus aureus,"['sa', 'sat', 'sats', 'saturation', 'saturday', 'sexual activity', 'sexually active', 'sinoatrial', 'staph', 'staphylococcus aureus', 'suicide alert', 'suicide attempt', 'sustained action']"
4943,stat,immediate,"['immediate', 'immediately', 'stat', 'statim']"
4944,stat,immediately,"['immediate', 'immediately', 'stat', 'statim']"
4945,stat,statim,"['immediate', 'immediately', 'stat', 'statim']"
4946,std,sexually transmitted disease,"['sexually transmitted disease', 'std']"
4947,stds,sexually transmitted diseases,"['sexually transmitted diseases', 'stds']"
4948,stemi,st elevation myocardial infarction,"['st elevation myocardial infarction', 'st-elevation myocardial infarction', 'stemi']"
4949,stemi,st-elevation myocardial infarction,"['st elevation myocardial infarction', 'st-elevation myocardial infarction', 'stemi']"
4950,steri,sterile,"['steri', 'sterile']"
4951,stg,short term goals,"['short term goals', 'stg']"
4952,sth,somatotropic hormone,"['somatotropic hormone', 'sth']"
4953,sti,sexually transmitted infection,"['sexually transmitted infection', 'sti']"
4954,stim,stimulate,"['stim', 'stimulate', 'stimulated', 'stimulation']"
4955,stim,stimulated,"['stim', 'stimulate', 'stimulated', 'stimulation']"
4956,stim,stimulation,"['stim', 'stimulate', 'stimulated', 'stimulation']"
4957,str,straight,"['str', 'straight', 'strength']"
4958,str,strength,"['str', 'straight', 'strength']"
4959,sts,serologic test for syphilis,"['serologic test for syphilis', 'soft tissue swelling', 'sts']"
4960,sts,soft tissue swelling,"['serologic test for syphilis', 'soft tissue swelling', 'sts']"
4961,stsg,split thickness skin graft,"['split thickness skin graft', 'stsg']"
4962,stx,stricture,"['stricture', 'stx']"
4963,sub-q,subcutaneous,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4964,subcu,subcutaneous,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4965,subcut,subcutaneous,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4966,subl,sublingual,"['sl', 'slight', 'slightly', 'subl', 'sublingual', 'under the tongue']"
4967,subq,subcutaneous,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4968,subq,subcutaneously,"['hb sc', 'hemoglobin ss', 's&s', 's.s', 's/s', 'sc', 'serosanguinous', 'sickle cell', 'signs and symptoms', 'signs or symptoms', 'signs/symptoms', 'single strength', 'sjögrens syndrome', 'sleep study', 'sliding scale', 'social security', 'sq', 'square', 'squirt', 'ss', 'standard score', 'stem cell', 'steri-strips', 'sternoclavicular', 'sternoclavicular joint', 'sub-q', 'subclavian', 'subclavicular', 'subcostal', 'subcu', 'subcut', 'subcutaneous', 'subcutaneously', 'subq', 'substernal', 'sydenham chorea', 'symptom score', 'without glasses']"
4969,suc,straight urinary catheter,"['straight urinary catheter', 'suc']"
4970,sunct,short-lasting unilateral neuralgiform headache with conjunctival injection and tearing,"['short-lasting unilateral neuralgiform headache with conjunctival injection and tearing', 'sunct']"
